tag,assignment_count,artist_count,sample_artists
sonra dinle,4,4,The Modern Lovers; Masada; Noa; Françoise Atlan
soundrack of my life,4,4,Britney Spears; Christina Aguilera; Miley Cyrus; Bratz
southern country rock,4,4,Brooks & Dunn; Alabama; Gretchen Wilson; Hank Williams Jr.
spaccaculi,4,4,In Flames; Dark Tranquillity; Kalmah; Solerrain
space-rock,4,4,Spiritualized; Spacemen 3; The Telescopes; Seven Percent Solution
spaghetti western,4,4,Ennio Morricone; The Cramps; The Vandals; The Meteors
speed,4,4,Metallica; Megadeth; Judas Priest; Slayer
stand-up,4,4,Bill Hicks; Richard Pryor; Robin Williams; Bill Cosby
strange,4,3,buried|cable; Yarema; Speaka
strong lyrics,4,4,Iron Maiden; KISS; Jars of Clay; Trouble
suicide squad,4,4,Guns N' Roses; Judas Priest; Missing Persons; Timbuk 3
sun rockabilly,4,4,Elvis Presley; Roy Orbison; Billy Lee Riley; Mickey Gilley
sunshine,4,4,Keane; Belle and Sebastian; Clap Your Hands Say Yeah; Everlast
surf punk,4,4,Dead Kennedys; Agent Orange; Lungbutter; Angry Petunias
symbiosis,4,4,Isobel Campbell & Mark Lanegan; Jane Birkin & Serge Gainsbourg; Beth Gibbons & Rustin Man; Bon Iver & St. Vincent
symphonic,4,4,Nightwish; Dimmu Borgir; Hydria; Eternal Tears of Sorrow
take your shirt off and dance to it,4,4,Depeche Mode; Nine Inch Nails; The Sisters of Mercy; KMFDM
tanguy,4,4,Parov Stelar; The Cat Empire; The Meteors; Johnny Clarke
texas blues,4,3,ZZ Top; Stevie Ray Vaughan; Lightnin' Hopkins
the corrs,4,3,The Corrs; Alejandro Sanz; Andrea Corr
the fray,4,4,The Fray; The Charlatans; Parachute; Butterfly Boucher
the hague,4,4,John Lee Hooker; Legowelt; 2562; Alden Tyrell
the killers,4,2,The Killers; Brandon Flowers
the place promised in our early days,4,4,Christina Aguilera; Kylie Minogue; Kelly Clarkson; Mariah Carey
the shield,4,4,Kings of Leon; The Smashing Pumpkins; Johnny Cash; Grant Lee Buffalo
the slow-mo,4,4,Travis; A Flock of Seagulls; Thomas Dolby; Texas
the who,4,4,Pete Townshend; Keith Moon; The High Numbers; John Entwistle
the wicked messenger,4,4,Bob Dylan; Prince Far I; Eric B. & Rakim; John Carpenter
the x factor 6,4,4,Joe McElderry; Jedward; Olly Murs; Stacey Solomon
theremin,4,4,The Octopus Project; THEreminGIRL; VFSix; VFSix feat. Pat Appleton
tool,4,2,Tool; Fire On Dawson
top artists,4,4,Britney Spears; Kylie Minogue; Lindsay Lohan; 5ive
translation practice,4,4,BoA; 宇多田ヒカル; HIGH and MIGHTY COLOR; FREENOTE
triste,4,4,Elliott Smith; The Velvet Underground; Gram; Piero Pelù
underground hip hop,4,4,Madvillain; Aesop Rock; Immortal Technique; Venom Knight
underground resistance,4,3,Tinariwen; Model 500; Drexciya
unique,4,4,30 Seconds to Mars; Florence + the Machine; Avenged Sevenfold; Kerli
unsure,4,4,Duran Duran; Howard Jones; Funkadelic; The Blow Monkeys
urban pop,4,4,Lady Gaga; Rihanna; Madonna; Kylie Minogue
usher,4,1,Usher
vacation,4,4,Rihanna; Coldplay; Slipknot; Leathermouth
vocalists,4,4,Britney Spears; Avril Lavigne; Girls Aloud; My Endeavour
vocalists i love,4,4,George Harrison; Richard Ashcroft; Bernard Butler; Fyfe Dangerfield
vocally perfect,4,4,Christina Aguilera; Beyoncé; Mariah Carey; Leona Lewis
voz marcante,4,4,Depeche Mode; Dave Gahan; Fiona Apple; Hole
water,4,4,a-ha; Talk Talk; Mark Knopfler; Water Charger
weeabo,4,4,宇多田ヒカル; DIR EN GREY; ASIAN KUNG-FU GENERATION; MALICE MIZER
western,4,4,Muse; Johnny Cash; Matanza; Hilary Chow
westlife,4,2,*NSYNC; Westlife
wonderful,4,4,The Kooks; Suede; Leeland; Brandon Heath
wu-fam,4,3,Gravediggaz; Hell Razah; Killah Priest
x factor,4,3,Alexandra Burke; JLS; Eleftheria Eleftheriou
x-men,4,4,Pink Floyd; Duran Duran; Queensrÿche; Oingo Boingo
yearns to be covered,4,4,Depeche Mode; Dave Gahan; The Chemical Brothers; 808 State
-pearl fashion music,3,3,Ben Woods; LOSTFREEQ; Oz Alchemist
1337,3,3,Death Cab for Cutie; Eagles; Ted Leo and The Pharmacists
1973,3,3,ABBA; Tom Waits; Paul Simon
1st vine,3,3,Massive Attack; Groove Armada; Soma Sonic
2000s diva,3,3,Rihanna; Hilary Duff; Aaliyah
5 star song,3,3,Ultravox; ABC; Big Country
70s rock,3,3,Led Zeppelin; Camel; Juliette and The Licks
77 style punk,3,3,The Exploding Hearts; The Briefs; Bankrupt
78violet,3,3,Aly & AJ; 78violet; Wilmie
80s stuff,3,3,Duran Duran; Men at Work; Belinda Carlisle
90s fun,3,3,KISS; Zoé; The Simpsons
97x,3,3,Thompson Twins; The Cramps; My Life with the Thrill Kill Kult
a,3,3,Mariah Carey; Kerli; Reel Big Fish
abstract hip hop,3,3,Flying Lotus; Prefuse 73; Why?
across the universe soundtrack,3,3,Jim Sturgess; Evan Rachel Wood; Joe Anderson
adam young,3,3,Owl City; Swimming With Dolphins; Port Blue
addicted,3,3,Lady Gaga; Leona Lewis; High School Musical
afro-cuban,3,3,Celia Cruz; Lila Downs; Mongo Santamaria
aj,3,2,Aly & AJ; 78violet
al jourgensen,3,3,Ministry; Revolting Cocks; Lard
all time favorite,3,3,Avril Lavigne; Linkin Park; Good Charlotte
alt,3,3,The Noise Affinity; Mirror feat. Dave Gahan; Matt Braunger and Matt Dwyer
alternative  punk,3,3,The Brian Jonestown Massacre; The View; The Hoosiers
altrock,3,3,My Chemical Romance; Saosin; The Red Jumpsuit Apparatus
aly,3,2,Aly & AJ; 78violet
aly and aj,3,2,Aly & AJ; 78violet
amazing songs,3,2,Sleepmakeswaves; Пелагея
ambient techno,3,3,The Future Sound of London; Susumu Yokota; Global Communication
ambiental,3,3,Gregorian; Cinnamon Chasers; Karl Sanders
american beauty,3,3,Thomas Newman; Free; The Guess Who
american blues artist group,3,3,Robin Trower; Dudley Taft; Chris Dair
american idol 6,3,3,Jordin Sparks; Blake Lewis; Melinda Doolittle
americans,3,3,David Bowie; Anahí; Dulce María
amy winehouse,3,2,Amy Winehouse; Inner Side
anahi,3,2,Britney Spears; Anahí
angra,3,3,Angra; Viper; Bittencourt Project
angry,3,3,Fiona Apple; Hole; Sheryl Crow
anna tsuchiya,3,3,土屋アンナ; Anna Tsuchiya; Spin Aqua
anthony green,3,3,Saosin; Circa Survive; The Sound of Animals Fighting
arabica,3,3,Nass Marrakech; Nabyla Maan; Alabina
archive,3,3,Archive; THEreminGIRL; VFSix
ateens,3,3,Britney Spears; A*Teens; Marie Serneholt
atelier,3,3,David Bowie; Björk; The Rolling Stones
atmospheric drum and bass,3,3,Saint Etienne; Future Engineers; Seba
aumenta o volume,3,3,Marisa Monte; Sarah Brightman; Renato Russo
awesome lyrics,3,3,Beastie Boys; Brand New; Brandon Flowers
awesome voice,3,3,Pink Floyd; Delta Goodrem; Austin Drage
awesomecore,3,3,Parkway Drive; Comeback Kid; He Is Legend
awesomesauce,3,3,Britney Spears; BrokeNCYDE; The Ready Set
bad days,3,3,Duran Duran; Run-D.M.C.; Real Life
bad girls,3,3,Duran Duran; Oingo Boingo; Grace Jones
bandana music,3,3,Aelpéacha; Csrd; MSJ
banu kirbag,3,3,Nilüfer; Zerrin Özer; Nil Burak
bard metal,3,3,Stratovarius; Therion; Falconer
bardic,3,3,Владимир Высоцкий; Арчер; Норд-Ост
battle metal,3,2,Manowar; Turisas
beach boys,3,3,The Beach Boys; delicious pastries; New Shouts
beat,3,3,Hot Chip; And One; Glass Candy
beatles cover,3,3,Siouxsie and the Banshees; Dead Kennedys; Sham 69
beauty,3,3,Madonna; Jennifer Lopez; Artist Vs. Poet
ben lee,3,3,Coldplay; The Fray; Ben Lee
bep,3,1,Black Eyed Peas
berlin school,3,3,Tangerine Dream; Klaus Schulze; Peter Baumann
best of 2007,3,3,Britney Spears; Hilary Duff; The Last Goodnight
best rock,3,3,My Chemical Romance; Fall Out Boy; The Academy Is...
best song,3,3,Britney Spears; HIM; Brandon Flowers
better than the original,3,3,Christina Aguilera; Justice; Eleventyseven
big bands,3,3,James Morrison; Corinne Bailey Rae; D'Angelo
big hair,3,3,Thompson Twins; Pseudo Echo; Brian May
birds of prey,3,3,Pink Floyd; Oingo Boingo; Cameo
bitchy lyrics,3,3,Ashlee Simpson; Leighton Meester; Paris Hilton
bitter,3,3,Depeche Mode; Leonard Cohen; ABC
bittersweet,3,3,Red Hot Chili Peppers; John Murphy; 鷺巣詩郎
bjork,3,2,Björk; Kellplanet
black sabbath,3,2,Black Sabbath; Heaven & Hell
blackout,3,1,Britney Spears
blonde,3,3,Avril Lavigne; Christina Aguilera; Kelly Clarkson
blues rock guitarist,3,3,Stevie Ray Vaughan; Coco Montoya; Арчер
bluesrock,3,3,Eric Clapton; Stevie Ray Vaughan; Buddy Guy
bolno,3,3,Evanescence; Deftones; Misfits
bones,3,3,Placebo; Stereophonics; twin cities
bonus track,3,3,ABBA; The Cinematic Orchestra; Wagon Christ
boogie,3,3,ZZ Top; Stevie Ray Vaughan; John Lee Hooker
born this way,3,1,Lady Gaga
bounce,3,3,Rihanna; P!nk; Nelly Furtado
bow down,3,3,Britney Spears; Christina Aguilera; Metallica
boy :d,3,3,Mika; David Archuleta; Jonathan Groff
boy with guitar,3,3,John Mayer; Jack's Mannequin; Teddy Geiger
brainy,3,3,Arovane; Secede; Lusine ICL
brazilian country,3,3,Marcos e Belutti; Zezé Di Camargo & Luciano; Nechivile
brazilian jazz,3,3,Antônio Carlos Jobim; João Gilberto; Vinicius de Moraes
brazilian metal,3,3,Soulfly; Andre Matos; Bittencourt Project
british reggae,3,3,UB40; Steel Pulse; Bitty McLean
broken beat,3,3,Jody Watley; Alton Miller; DJ Trax
bsb,3,1,Backstreet Boys
bubblegoth,3,1,Kerli
buffy,3,3,Heather Nova; Black Lab; Christophe Beck
burlesque,3,1,Christina Aguilera
butterfly boucher,3,3,The Fray; The Charlatans; Butterfly Boucher
buzzpop,3,3,The Copyrights; The Manges; The Methadones
cabelo ruim,3,3,Rihanna; Beyoncé; Ke$ha
calamaro,3,3,Andrés Calamaro; Los Rodríguez; Los Abuelos de la Nada
cantautore,3,3,Vasco Rossi; Marco Masini; Roberto Vecchioni
cap,3,3,Lady Gaga; The Horrors; Neon Indian
carrie underwood,3,2,Carrie Underwood; Out of Ether
catolica,3,3,Ministério Adoração e Vida; Padre Fábio de Melo; Vida Reluz
cello rock,3,2,Rasputina; Cellofourte
chanting,3,3,Sheila Chandra; Jai Uttal; Jonathan Elias
cher,3,1,Cher
chilean,3,3,Javiera Mena; Denise Rosenthal; Proyecto Crisis
chilled,3,3,Madonna; Duran Duran; Modus
chilling,3,3,The Cure; Dave Matthews Band; John Murphy
chills,3,3,Placebo; Incubus; John Mayer
choon,3,3,Public Image Ltd.; Dizzee Rascal; Mortiis
chris cornell,3,3,Alice in Chains; Soundgarden; Fire On Dawson
civil rights movement,3,3,Miles Davis; James Brown; Sly & The Family Stone
classic jazz,3,3,Ella Fitzgerald; Nat King Cole; Doris Day
classic pop,3,3,Michael Jackson; A Flock of Seagulls; The Turtles
close your eyes and imagine,3,3,Hans Zimmer; Dimmu Borgir; Javier Navarrete
cocteau twins,3,3,Cocteau Twins; Kellplanet; Tear Down The Lies!
colorado,3,3,3OH!3; Fear Before the March of Flames; Single File
constellation records,3,3,A Silver Mt. Zion; Do Make Say Think; HṚṢṬA
contemporary folk,3,3,Suzanne Vega; Tracy Chapman; June Tabor
coran,3,3,Kani Karaca; Saud Al-Shuraim; Emin Isak
cover versions,3,3,Anberlin; Kill Hannah; Quietdrive
creepy but amazing,3,3,Radiohead; Editors; Michael Andrews
cybercore,3,2,Психея; #####
cyndi lauper,3,3,Madonna; Sandra; Blue Angel
dancante,3,3,Madonna; Simple Plan; Gym Class Heroes
dance around your bedroom,3,3,Shakira; Joy Division; Nevilton
dancey,3,3,New Order; VHS or Beta; Glass Candy
dancing queen,3,1,安室奈美恵
dark folk,3,3,Les Discrets; Spiritual Front; Argine
dark psychedelic trance,3,2,Penta; Gorump Peyya
datura,3,3,Depeche Mode; Recoil; Nitzer Ebb
death cab for cutie,3,1,Death Cab for Cutie
death punk,3,2,Black Drawing Chalks; Turbonegro
death thrash,3,3,Hatesphere; Sadus; Laxative
deep-house,3,3,SCSI-9; Lawrence; Rick Wade
depression is kicking in,3,3,Pearl Jam; Alice in Chains; Mad Season
desert rock,3,3,Queens of the Stone Age; Kyuss; Brant Bjork
deutschland sucht den superstar 5,3,3,Fady Maalouf; Linda Teodosiu; Thomas Godoj
diego12,3,3,BarlowGirl; Default; Seventh Day Slumber
disco house,3,3,Kings of Tomorrow; Glenn Underground; Crazy Penis
dj gk,3,3,"Deja Vue; The K; The ""K"""
dominican metal,3,3,JLS; Voces en el Plasma; Synesthesia
download,3,3,Amycanbe; buried|cable; Whisper Signal
download required,3,3,John Mayer; Lifehouse; Lemongrass
downtempo custom,3,3,Caribou; Koop; 4hero
dream theater,3,3,Dream Theater; Heartscore; Khigh
dreaming,3,3,Lifehouse; Frou Frou; Zola Jesus
dumb and dumber,3,3,Nick Cave and the Bad Seeds; Roy Orbison; The Cowsills
early heavy metal,3,3,Black Sabbath; Deep Purple; Sir Lord Baltimore
electro punk,3,3,Daft Punk; Hadouken!; Cool Kids of Death
electrofunk,3,2,Frivolous; Nacho Patrol
elephant 6,3,3,of Montreal; The Gerbils; delicious pastries
em,3,2,Eminem; D12
emilie simon,3,3,Emilie Simon; THEreminGIRL; VFSix
emir,3,3,Drake; Mos Def; Rick GhraphiXxX
enchanting,3,3,Evanescence; Zoë Keating; Saltillo
enigma,3,3,Enigma; Modus; Kellplanet
entertainer,3,3,Britney Spears; Rihanna; 倖田來未
epica,3,3,Epica; This Light; Hall of Dreams
esc,3,3,Светлана Лобода; Sofia Nizharadze; Man Meadow
escuta isso por favor,3,3,Damien Rice; Ana Carolina; Victor & Leo
especiales,3,3,The Cure; Pearl Jam; Alice in Chains
estonian,3,1,Kerli
exactly,3,3,Goldfinger; The Suicide Machines; Operation Ivy
excelent,3,3,Pixie Lott; David Cook; Brandon Heath
experimental black metal,3,3,Agalloch; The Meads of Asphodel; Castevet
extreme progressive metal,3,2,Opeth; Edge of Sanity
fado,3,3,Madredeus; Amália Rodrigues; Rouxinol Faduncho
fallout,3,3,Vangelis; Mark Morgan; Atlantis
falsetto,3,3,Radiohead; Sigur Rós; Jónsi
father of metal,3,3,Dio; Heaven & Hell; Iommi
fave tracks two,3,3,Ashlee Simpson; t.A.T.u.; Aly & AJ
favourite lyrics,3,3,The Beatles; Ryan Adams; Gnarls Barkley
favourite song ever,3,3,The Feeling; The Undertones; The La's
female-vocalists,3,3,Beyoncé; Sarah Brightman; Мельница
femme fatale,3,1,Britney Spears
femme fronted metal,3,3,Evanescence; Lacuna Coil; Tsunami Bomb
fergie,3,3,Black Eyed Peas; Fergie; Slash
final fantasy,3,2,植松伸夫; 崎元仁
finale,3,3,Jeff Buckley; Clap Your Hands Say Yeah; Heartless Bastards
folk blues,3,3,Leadbelly; John Fahey; Son House
folktronic,3,3,Marina & the Diamonds; Diana Vickers; Frou Frou
for haters,3,3,Britney Spears; Fall Out Boy; Simple Plan
forbidden sounds group,3,3,Magnitarus; ksandr and I.M.M.U.R.E.; ksandr
forever,3,3,Spice Girls; For My Enemy; BFF
fuckin covers,3,3,Arch Enemy; Six Feet Under; Persuader
fucking brilliant,3,3,Metallica; The Rolling Stones; KISS
fucking good,3,3,Lady Gaga; The Killers; Arctic Monkeys
fucking selfdeep,3,3,The Residents; Foetus; LOSTFREEQ
fucking sexy,3,3,Anti-Flag; Joan Jett and the Blackhearts; Jensen Ackles
funk metal,3,3,Incubus; Faith No More; Primus
furnoo lovers,3,3,Avril Lavigne; David Archuleta; Big Time Rush
future,3,3,Jay Sean; Colby O'Donis; The Polyphonic Spree
g-funk,3,3,Nas; B.G. Knocc Out & Dresta; Ant Banks
garage surf,3,3,Butthole Surfers; Dick Dale; The Barracudas
garbage city radio,3,3,Lungbutter; Krackatoa; A Band Featuring Instruments
gay as hell,3,3,Queen; Pet Shop Boys; Christophe Willem
gay fish,3,1,Kanye West
german rap,3,3,Sonny Black & Frank White; Farid Bang; Favorite & Hollywood Hank
german thrash metal,3,3,Sodom; Destruction; Mekong Delta
ghazal,3,3,Mahmut Durgun; Shabnam Majid; Sajid Raza Qadri
ghost drone,3,3,Salem; oOoOO; †‡†
girlband,3,3,Sugababes; Spice Girls; Bratz
girlsband,3,3,The Pussycat Dolls; Girls Aloud; Spice Girls
godlike people of awesomeness,3,3,Darren Criss; A Very Potter Musical; Neil Patrick Harris
goff,3,3,The Cure; She Wants Revenge; Siouxsie and the Banshees
good charlotte,3,1,Good Charlotte
good one,3,3,Peter Bjorn and John; Mystery Jets; Paris Combo
goosebumps,3,3,ABC; Marillion; Big Country
great cover,3,3,Linkin Park; Korn; The Cult
great dancers,3,3,Britney Spears; Jennifer Lopez; Christina Milian
great solo,3,3,Iron Maiden; Ozzy Osbourne; Michael Angelo Batio
greys anatomy soundtrack,3,3,Snow Patrol; Ivy; Inara George
gross meaning but good song,3,3,Lady Gaga; Britney Spears; Christina Aguilera
grunge rock,3,2,Nirvana; Pearl Jam
grupo feminimo,3,3,The Pussycat Dolls; Roxette; Girlicious
gta iv,3,3,Kanye West; The Black Keys; The Pistolas
gta vice city,3,3,Toto; Laura Branigan; The Buggles
gta4,3,3,John Coltrane; John Legend; Raheem DeVaughn
gucci goth,3,3,How to Dress Well; O. Children; G.A.N. 665+1
guitar karlsruhe,3,3,Robin Trower; Dudley Taft; The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan
guns n roses,3,1,Guns N' Roses
gypsy punk,3,2,Gogol Bordello; Goran Bregović
happy hardcore,3,3,DJ Sharpnel; Huepow00; Scarface
happy song,3,3,Stars; Superchic[k]; Toad the Wet Sprocket
hardcore melodico,3,3,Rufio; Sp7; Best Interest
hardcoregutural,3,3,Cadaveria; Nasty Taste; Stab
hardrock,3,3,Guns N' Roses; Papa Roach; Big Dismal
harmonisch ambient classical new nu classic,3,3,The Postal Service; Le Tigre; Herr M.
hayley williams,3,1,Paramore
heard live,3,3,Demi Lovato; Jonas Brothers; Camp Rock
helloween,3,3,Helloween; This Light; Hall of Dreams
helplessly singing along,3,3,Depeche Mode; Nine Inch Nails; Judas Priest
high,3,3,Tricky; TV on the Radio; The Wallflowers
high school,3,3,Counting Crows; Blind Melon; American Football
high school musical,3,3,"Ashley Tisdale; High School Musical; Zac Efron, Cast of High School Musical"
hillbilly boogie,3,3,Tennessee Ernie Ford; Billy Briggs; Moon Mullican
hip hop soul,3,3,Black Eyed Peas; Timbaland; Amerie
hippie,3,3,MGMT; of Montreal; Jefferson Airplane
hiv positive,3,3,Miley Cyrus; Tokio Hotel; Kevin Federline
horror,3,3,Goblin; Samhain; Silent Hill
hungarian,3,3,Bonanza Banzai; Alvin és a Mókusok; Bankrupt
hymns,3,3,Hillsong United; Brooke Fraser; Lucas Souza Banda
i came,3,3,Porcupine Tree; Neutral Milk Hotel; Godspeed You! Black Emperor
i could listen to this forever,3,3,Robert Pattinson; Blue; Daphne Loves Derby
i like girls,3,3,Death Cab for Cutie; Jenny Lewis with The Watson Twins; Five Iron Frenzy
i melted,3,3,Johnny Cash; Jeff Buckley; Alex Parks
i want back to the 80s,3,3,Duran Duran; Visage; Arcadia
icarly,3,2,Miranda Cosgrove; Jennette McCurdy
ihaa,3,3,Franz Ferdinand; Nouvelle Vague; Moloko
illadelph,3,3,The Roots; Jedi Mind Tricks; Musiq
imperative reaction,3,3,e-gens; Decence; ironfield
impressive,3,3,Death Cab for Cutie; DragonForce; Ted Leo and The Pharmacists
in bloom,3,3,A Fine Frenzy; The Red Jumpsuit Apparatus; Kent
incredible,3,3,Christina Aguilera; The Script; Dave Matthews Band
indie/rock,3,3,Yeah Yeah Yeahs; Babyshambles; Peter Doherty
industri,3,3,Einstürzende Neubauten; Throbbing Gristle; Foetus
industrial black metal,3,3,The Kovenant; Anaal Nathrakh; Samael
industrial pop,3,3,Nine Inch Nails; Marilyn Manson; Orgy
indy hip-hop,3,3,KOMHATA 101; Соль Земли; Blok B
inflight music,3,3,Der WaldläUfer; Waldläufer; abyssal plains
information society,3,2,Information Society; Provision
insane classical motives,3,3,Rainbow; Blackmore's Night; Dark Moor
intelligent electro,3,3,yelworC; Liquid Divine; Ice Ages
intense sadness,3,3,Elliott Smith; Mark Lanegan; Therapy?
ireland,3,3,The Cranberries; Alisa Jones; Altar of Plagues
israeli,3,3,יוני בלוך; Harel Skaat; עברי לידר
italiano,3,3,Paola & Chiara; Toto Cutugno; Al Bano & Romina Power
j-cuties,3,3,倖田來未; YUI; melody.
j-hiphop,3,2,KICK THE CAN CREW; Rhymester
jack johnson,3,3,Ani DiFranco; Ocean Reid; Out of Ether
jazz core,3,3,Big Moves; Neo; Tribraco
jazz pianist,3,3,Thelonious Monk; Duke Ellington; Abdullah Ibrahim
jazz piano,3,3,Freddie Hubbard; Ahmad Jamal; Abdullah Ibrahim
jazzy house,3,3,Kevin Yost; Crazy Penis; Roy Davis Jr.
je,3,3,嵐; Jagged Edge; Arashi
jesse mccartney,3,1,Jesse McCartney
jihad songs,3,3,Imad Al-Sharif; Abu Ali & Abu Abdul Maalik; Ottoman Military Band
jimmy page,3,2,Led Zeppelin; The Yardbirds
john foxx,3,3,Ultravox; John Foxx; John Foxx & Louis Gordon
john mayer,3,2,John Mayer; Out of Ether
johnny cash,3,2,Coldplay; Johnny Cash
jordin sparks,3,1,Jordin Sparks
joy division,3,2,Joy Division; Legião Urbana
kamelot,3,3,Kamelot; This Light; Hall of Dreams
karadeniz,3,3,Kazım Koyuncu; Karmate; Sonbahar Film Müzikleri
kari,3,3,Emin Isak; Cheikh Abdulbasset Abdussamad; Yahya Hawwa
kathy,3,3,Simply Red; Technotronic; Romeo Void
kazakhstan,3,3,Urker; Muzart; Shahzoda
kazakistan,3,3,Urker; Muzart; Ulytau
keeper,3,3,Skrillex; DICKY DIXON LAKE RECORDS; Dicky Dixon
kill bill,3,3,Nancy Sinatra; The 5.6.7.8's; Shivaree
king of music,3,1,Michael Jackson
kings of leon,3,2,Kings of Leon; Out of Ether
kiwi,3,3,Split Enz; Tim Finn; Liam Finn
korean music,3,3,동방신기; MBLAQ; 배치기
kraftwerk,3,3,Coldplay; Kraftwerk; depressive minds
krutt,3,3,Sigur Rós; múm; Amiina
kvlt,3,3,Mayhem; Inquisition; Darkened Nocturn Slaughtercult
lamb,3,3,Lamb; THEreminGIRL; VFSix
layne staley,3,3,Pearl Jam; Alice in Chains; Mad Season
le saint quran,3,3,Abdelbasset Mohamed Abdessamad; Mohammed Ibraheem al Luhaydan; Yahya Hawwa
leet,3,3,Death Cab for Cutie; Eagles; Ted Leo and The Pharmacists
life,3,3,Alanis Morissette; The Wallflowers; The Benjy Davis Project
lily allen,3,1,Lily Allen
linkin park,3,1,Linkin Park
listen while crying and feeling like shit,3,3,Radiohead; The Cure; Keane
little miss sunshine soundtrack,3,2,Sufjan Stevens; DeVotchKa
live track,3,3,Paramore; blink-182; The Pretty Reckless
lmli,3,3,Andrew Belle; Sarah Jaffe; Charlie Dée
loneliness,3,3,Red Hot Chili Peppers; The Roots; Randy Newman
longing,3,3,a-ha; Electric Light Orchestra; Belinda Carlisle
loops,3,3,Flying Lotus; Hildur Guðnadóttir; Frivolous
loud,3,2,Rihanna; Kill Yourself
loved at first listen,3,3,Nightwish; KISS; Elton John
lupe fiasco,3,3,Nas; Rick GhraphiXxX; Jay-Blaze
lyrical brilliance,3,3,Rise Against; Enigma; Meat Loaf
mactonight essential,3,3,John Mayer; Morrissey; John Mayer Trio
mactonight fav,3,3,The Cure; Mystery Jets; Destroyer
madchester,3,2,The Stone Roses; Happy Mondays
magnificently mediocre,3,3,Mindless Self Indulgence; Roger Waters; nobodyknows+
make me wanna scream,3,3,Red Hot Chili Peppers; The Pretty Reckless; The Runaways
makes me trigger happy with the love button,3,3,Architecture in Helsinki; Manchester Orchestra; Anathallo
makes me wanna punch people for fun,3,3,From First to Last; Polara; Secret Lives of the Freemasons
male version,3,3,Britney Spears; Avril Lavigne; Ashley Tisdale
male vocal,3,3,Sarah Brightman; resident hero; HenriK Félix
manguebeat,3,2,Chico Science & Nação Zumbi; Mundo Livre S/A
mariage blanc,3,3,delicious pastries; New Shouts; Mariage Blanc
marilyn manson,3,1,Marilyn Manson
maroon 5,3,2,Hilary Duff; Maroon 5
max martin,3,3,Britney Spears; Backstreet Boys; Nick Carter
mega awesome sweet fuckin hyperpowerful riff,3,3,Rammstein; Nine Inch Nails; The Cult
melhor banda do mundo,3,3,Depeche Mode; Led Zeppelin; Keane
melhor da alemanha,3,2,Rammstein; Oomph!
melodic hard rock,3,3,Axel Rudi Pell; DELUHI; stonecollar
melodic punk,3,3,Descendents; I Hate Kate; Bankrupt
melodifestivalen,3,2,ABBA; Måns Zelmerlöw
melodious,3,3,Experimental Model; Cordovero; Triangle Sun
memphis soul,3,3,Curtis Mayfield; Otis Redding; Al Green
menace,3,3,Leonard Cohen; A Flock of Seagulls; Aereogramme
metal meltdown,3,3,Iron Maiden; Judas Priest; Accept
michael,3,3,Michael Jackson; Michael Bublé; Artists For Haiti
mike bordin,3,3,Ozzy Osbourne; Faith No More; Black Label Society
miley,3,2,Miley Cyrus; Timbaland
mind-bursting,3,3,The Beatles; Oasis; Kasabian
miscellaneous,3,3,Incubus; Talking Heads; Mos Def
mississippi,3,3,Muddy Waters; Skip James; Son House
mittelalter,3,3,In Extremo; Subway to Sally; Schandmaul
mixed vocals,3,3,Glee Cast; Alphabeat; Ode à l'Acadie
moonlight mile ost,3,3,The Rolling Stones; Jethro Tull; Van Morrison
more,3,3,The Postal Service; Le Tigre; Herr M.
moscow,3,3,THEreminGIRL; VFSix; VFSix feat. S.C.E.
most beautiful voices,3,3,Mariah Carey; Joss Stone; 倖田來未
motivating,3,3,Christina Aguilera; Mariah Carey; Alicia Keys
mountain road trip music,3,3,Laura Veirs; Gomez; The Reindeer Section
mstrkrft,3,3,Metric; Gossip; Buck 65
music i like,3,3,Taking Back Sunday; Dashboard Confessional; From First to Last
musica brasileira,3,3,Various Artists; Marcos e Belutti; Nevilton
musicals,3,3,Various Artists; High School Musical Cast; Original Broadway Cast
my ballz in your mouth :3,3,3,Adele; Spm; Dropping a Popped Locket
my chemical romance,3,1,My Chemical Romance
my day sucks,3,3,"System of a Down; ""Weird Al"" Yankovic; Daniel Powter"
my teens,3,3,The Cure; Ramones; The Clash
namora,3,3,Duran Duran; Arcadia; Toad the Wet Sprocket
native american flute,3,3,R. Carlos Nakai; Brulé; Native American
ne-yo,3,3,Mariah Carey; Ne-Yo; Hick
nelly,3,2,Nelly Furtado; Nelly
neo prog,3,3,Marillion; Cast; Solaris
neo-progressive metal,3,3,Dream Theater; Pain of Salvation; Liquid Tension Experiment
new kid on the block,3,3,Suicidal Romance; Miss Construction; Nurzery [Rhymes]
new orleans,3,3,The Meters; Dr. John; The Benjy Davis Project
newgaze,3,3,Air Formation; Destroyalldreamers; Alcian Blue
next big thing,3,3,Plastiscines; Greyson Chance; Samantha Newark
nice vocals,3,3,Lenny Kravitz; Lee Ryan; Elisa
nigga stole ma bike,3,3,DMX; Freddie King; Ja Rule
nikki sixx,3,2,Mötley Crüe; Sixx:A.M.
nine inch nails,3,3,Nine Inch Nails; Iron Jesus; Dj.M
noruego,3,3,a-ha; Sissel; Silje Nergaard
norwegian metal,3,3,Dimmu Borgir; Burzum; 1349
